USERNAME,TIME,REVIEW,text_clean
rahmaa nuraini,4 months ago,Yesterday I went to the HMNs store and met some very helpful staff. I really liked how cheerful they were when they helped me choose the perfume. Thank you HMNs.,yesterday i went to the hmns store and met some very helpful staff i really liked how cheerful they were when they helped me choose the perfume thank you hmns
Dedy Dedy,4 months ago,"I'm really happy when I buy Hmns, the staff are very friendly, cheerful and serve it, so I feel like I'm enjoying it, I'm not afraid of being rude if I ask a question,"" it will improve your mood if you buy thereðŸ¤© â€¦",i m really happy when i buy hmns the staff are very friendly cheerful and serve it so i feel like i m enjoying it i m not afraid of being rude if i ask a question it will improve your mood if you buy thereðÿ â
Antoni Wibowo,4 months ago,The large male employee (who wore makeup) was so rude to customers that I didn't want to buy anything...,the large male employee who wore makeup was so rude to customers that i didn t want to buy anything
cut shalsabilla,4 months ago,Everyone loves the smell.,everyone loves the smell
Fitriyanti Sitorus,4 months ago,The service is really good,the service is really good
Zalfa Hasna N.,5 months ago,The sales person is very nice and very helpful,the sales person is very nice and very helpful
Bagas Rizki Hertanto,5 months ago,nice service and good quality,nice service and good quality
Amir Amri Abd Razak,5 months ago,Parfume mendoonia.,parfume mendoonia
Nor Nadiah Shuhaimi,5 months ago,Staff so nice assist us with the perfect perfume ðŸ˜ â€¦,staff so nice assist us with the perfect perfume ðÿ â
jho Dizet,5 months ago,"Best, the new variant is gong",best the new variant is gong
Zalfa Alya Suparto,5 months ago,"The sister is friendly, if you have an orgasm you can get a free sample ðŸ«¶ðŸ» â€¦",the sister is friendly if you have an orgasm you can get a free sample ðÿ ðÿ â
Indah Agustina,5 months ago,The service is really good and the sister is super fun. Highly recommended!!!!ðŸŒ¹ðŸ’ â€¦,the service is really good and the sister is super fun highly recommended ðÿœ¹ðÿ â
althca 246,5 months ago,SUPER RECOMMEND BUY HERE!!! THE BROTHER IS VERY GOODâ¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸,super recommend buy here the brother is very goodâ ï â ï â ï â ï â ï â ï
Rheysifa Addya,5 months ago,"Very, very, nice experience here! Perfumes are great, services are better! Would definitely repurchase the orgsm series and might be more <3",very very nice experience here perfumes are great services are better would definitely repurchase the orgsm series and might be more
Muhammad Kautsar Nizar,5 months ago,"Thank you for the service, sis! All the staff are very friendly. Super recommended for shopping here.",thank you for the service sis all the staff are very friendly super recommended for shopping here
farhah zafira,5 months ago,the service is very friendly and responsive,the service is very friendly and responsive
Duta Armada,6 months ago,"The best, SA very friendly and kind .. love all the perfume very much.",the best sa very friendly and kind love all the perfume very much
Nur Athirah Daud,6 months ago,Mr Syarif gave me the best service ever!!! Also recommended me some of best sellers perfume in here ðŸ¥¹ðŸ‘ðŸ» will come here again and btw im from malaysia â€¦,mr syarif gave me the best service ever also recommended me some of best sellers perfume in here ðÿ ¹ðÿ ðÿ will come here again and btw im from malaysia â
NURHIDAYAH ABD RAZAK,6 months ago,"Staff Agry good service, friendly and gratis!",staff agry good service friendly and gratis
Nadeea Fitters,6 months ago,"HNMS ALL TIME FAVOURITE ðŸ˜ðŸ˜ðŸ˜ SURE WILL REPEAT, THANKS TO MS AGRY GOOD SERVICE NYAAA YAAðŸ˜ â€¦",hnms all time favourite ðÿ ðÿ ðÿ sure will repeat thanks to ms agry good service nyaa yaaðÿ â
Ni komang Krisnayani,6 months ago,Vauzyah Thank you for the satisfactory service,vauzyah thank you for the satisfactory service
NoorRilhikam Abdul Hakam,6 months ago,Wowwww.. love more this perfume.. the staff is also nice.. miss Dewi â¤ï¸,wow love more this perfume the staff is also nice miss dewi â ï
Fanny Solina,7 months ago,There are lots of gifts if you buy at the offline store,there are lots of gifts if you buy at the offline store
Eddy Kurniawan,7 months ago,"The service is friendly, the staff patiently explains the characteristics of the perfume and helps you choose one that suits your personality. Just choose whether you want manly or feminine, there are also unisex options. Don't forget to come by, it's at Grand Indonesia Mall...",the service is friendly the staff patiently explains the characteristics of the perfume and helps you choose one that suits your personality just choose whether you want manly or feminine there are also unisex options don t forget to come by it s at grand indonesia mall
Hafizah Abd Kadir Matussin,7 months ago,Unrosed - sexy soft feminine scent! Really suits my personalityâ€¦,unrosed sexy soft feminine scent really suits my personalityâ
iman zahirudin,7 months ago,Very nicee,very nicee
Winna Panjaitan,7 months ago,Another level for experience of scents â¤ï¸,another level for experience of scents â ï
aroma86 ekaputra,7 months ago,"Just tried the second one, hopefully this time I like the scent more",just tried the second one hopefully this time i like the scent more
Mohd Sulaiman,7 months ago,It's very safe here ðŸ¥° â€¦,it s very safe here ðÿ â
Salman Ramadhan,7 months ago,"Good service and I was treated well until I got the perfume I liked, if I'm not mistaken the employee's name is Hafiz. Good luck, I hope your career goes smoothly, bro. And the others are also nice, smile, greet, and greet. HMNS Grand Indonesia is the best",good service and i was treated well until i got the perfume i liked if i m not mistaken the employee s name is hafiz good luck i hope your career goes smoothly bro and the others are also nice smile greet and greet hmns grand indonesia is the best
claudia fortuna,7 months ago,"fell in love at first sniff with the aroma of darker shade of orgm, recommend kaka dewi very good service bintang kejora I also give, best employees hmns grand indonesia are very friendly ðŸ™ðŸ» â€¦",fell in love at first sniff with the aroma of darker shade of orgm recommend kaka dewi very good service bintang kejora i also give best employees hmns grand indonesia are very friendly ðÿ ðÿ â
Faizah,7 months ago,"smells good, so fragrant that it makes other people look at us when we pass by",smells good so fragrant that it makes other people look at us when we pass by
Gia Aulfa,7 months ago,"The scent lasts all day, love it!",the scent lasts all day love it
Dita Lodot,7 months ago,The scent is nice and long lasting ðŸ‘ â€¦,the scent is nice and long lasting ðÿ â
Mohammad Syarif,7 months ago,Thanks for any recommended,thanks for any recommended
Nadiah Hafiz,7 months ago,Wide range of luxurious perfumes! Staff is very friendly n helpful.,wide range of luxurious perfumes staff is very friendly n helpful
Elle Salleh,7 months ago,Thanks partner for recommended perfume,thanks partner for recommended perfume
Izyan nurhanis Ismail,7 months ago,good experience. nice perfume,good experience nice perfume
Eiman Danieal,7 months ago,The customer service is magnificent and really helpful,the customer service is magnificent and really helpful
Aslinda Abdul Karim,7 months ago,Thank u syariff(scent philosoper) for recommendation perfume,thank u syariff scent philosoper for recommendation perfume
mazizah salim,7 months ago,Superb service by Nicole. Nice perfumeðŸ˜ â€¦,superb service by nicole nice perfumeðÿ â
HERWIT DAYATANI,7 months ago,I really like all the Humans perfume variants. The scent is long-lasting and the price is affordable.,i really like all the humans perfume variants the scent is long lasting and the price is affordable
Nurul Huda Zainal,7 months ago,Best perfume and staff,best perfume and staff
nordiana zainal,7 months ago,Nice perfume smell and good treat from the staff,nice perfume smell and good treat from the staff
nurliza zainal,7 months ago,nice smell and greats,nice smell and greats
Anandita Putri,7 months ago,smells fresh,smells fresh
Dhiyaa Zulaika,7 months ago,"The service is good, friendly & worth every penny",the service is good friendly worth every penny
Saira H.,7 months ago,Friendly staff. Perfume smells good. Sapot lokal!!,friendly staff perfume smells good sapot lokal
Nursuhaila Marudin,7 months ago,Love all the scent!,love all the scent
Noorhafiszah Md Noor,7 months ago,Smell good ðŸ˜,smell good ðÿ
Yudhi Dwistira,7 months ago,Very good quality and very friendly service.,very good quality and very friendly service
NURUL HUSNIYAH ABAS,7 months ago,It's so great to be able to come here. Great service. Awesome from Malaysia.,it s so great to be able to come here great service awesome from malaysia
sznty azmn,7 months ago,Good service by Hafis & Rike & Agry,good service by hafis rike agry
Zuhairah Zolkaply,7 months ago,Nice smell. Rike and Hafis are very good,nice smell rike and hafis are very good
zul AD,7 months ago,"The Best Local Perfume in Jakarta, Indonesia",the best local perfume in jakarta indonesia
Tina House,7 months ago,Store assistant nya keren bangett.. very helpful with latest promotion & good bargains. â€¦,store assistant nya keren bangett very helpful with latest promotion good bargains â
Atiqah Romli,7 months ago,Friendly staff & good service,friendly staff good service
Fauzan Iqbal,7 months ago,"The perfume is great, the scent lasts a long time, I will come again",the perfume is great the scent lasts a long time i will come again
syaqila azman,7 months ago,Good customer service and friendly staff,good customer service and friendly staff
M I,7 months ago,Perfume smells good. Recommended,perfume smells good recommended
Supparuek Krengwittayatorn,7 months ago,Thanks great and quality,thanks great and quality
Normala Binti Sabran,7 months ago,The staff is nice and handsome too. The pregnant female staff is also very nice.,the staff is nice and handsome too the pregnant female staff is also very nice
Noor Ekhram,7 months ago,"HmNs, it's really nice to welcome you all.. thank you..",hmns it s really nice to welcome you all thank you
Nadira Hud,7 months ago,"The staff is friendly, the service is also very good",the staff is friendly the service is also very good
Nad Ahmad,7 months ago,Hafis attend to us fast n very good. Warmth and keep smiling.. keep it up,hafis attend to us fast n very good warmth and keep smiling keep it up
disya novianti,7 months ago,shoutout to Ka Hafis and Ka Syarif for helping us out to choose the best onesðŸ¤©ðŸ¤©ðŸ¤© â€¦,shoutout to ka hafis and ka syarif for helping us out to choose the best onesðÿ ðÿ ðÿ â
Nadia Al,7 months ago,"Recommended! Go to Hafis to buy, heâ€™s the best ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼ â€¦",recommended go to hafis to buy heâ s the best ðÿ ðÿ ¼ðÿ ðÿ ¼ðÿ ðÿ ¼ â
Aideed SS,7 months ago,BEST PERFUME IN JAKARTA!,best perfume in jakarta
Nurul Syazana Yahaya,7 months ago,Love most of the scenes! The service is 5 stars too,love most of the scenes the service is stars too
Mimi Yahaya,7 months ago,"An excellent perfume, love it",an excellent perfume love it
Nurul Syairah Yahaya,7 months ago,Absolute favourite!! A must buy perfumes in Jakarta,absolute favourite a must buy perfumes in jakarta
Ailya Suhaidi,7 months ago,My go-to! Love their range of perfumes,my go to love their range of perfumes
Annisa Putri,7 months ago,Stock very complete. The staff very helpfull âœ¨,stock very complete the staff very helpfull âœ
emmy rz,7 months ago,Love the perfume,love the perfume
Rozaireen Binti Ibrahim,7 months ago,More choices of perfumes & friendly staff,more choices of perfumes friendly staff
Nona Hendra,7 months ago,"Thank you partner HMNS, Nice service, good attitude, and good performa",thank you partner hmns nice service good attitude and good performa
Syamaizar Riandi,7 months ago,Best local fragrance!,best local fragrance
Felicia,7 months ago,Extremely friendly and helpful customer service,extremely friendly and helpful customer service
Farishah Aleyah Azlan,7 months ago,Thank you Hafis for the amazing service :),thank you hafis for the amazing service
Norain Hashim,7 months ago,Amazing service by Hafis :),amazing service by hafis
Achon Achon,7 months ago,One of the most favorite local perfumes,one of the most favorite local perfumes
larasati puri ratna,7 months ago,The most complete hmns store. The staff is helpful.,the most complete hmns store the staff is helpful
Syahirah Adha,7 months ago,"The best experience to buy from HMNS Jakarta. I recently purchased a perfume from the store, and I must say, the salesperson Hafis, was incredibly helpful. He suggested several scents that suited my preferences perfectly. His friendly â€¦",the best experience to buy from hmns jakarta i recently purchased a perfume from the store and i must say the salesperson hafis was incredibly helpful he suggested several scents that suited my preferences perfectly his friendly â
Fatimah Fauzi,7 months ago,I recently purchased HMNS perfume and I am absolutely thrilled with it! The scent is delightful and long-lasting. Itâ€™s perfect for both everyday wear and special occasions. â€¦,i recently purchased hmns perfume and i am absolutely thrilled with it the scent is delightful and long lasting itâ s perfect for both everyday wear and special occasions â
Colour Beads,7 months ago,"The sister is very friendly, I've bought hmns 3 times and never get bored",the sister is very friendly i ve bought hmns times and never get bored
Muhamad Rifai,7 months ago,One of my favorite perfumes! The staff (Mr. Hafis) is very friendly and very helpful.,one of my favorite perfumes the staff mr hafis is very friendly and very helpful
Dobol ted,7 months ago,"The variety is good""",the variety is good
huns,7 months ago,"First time trying to come directly to the offline store at Grand Indonesia, the scents are all delicious. I was helped by Nichol, the service was very friendly and helpful.",first time trying to come directly to the offline store at grand indonesia the scents are all delicious i was helped by nichol the service was very friendly and helpful
julie md zahdi,7 months ago,Get the orgsm!,get the orgsm
Nad iah,7 months ago,Great experience with helpful staff.,great experience with helpful staff
Nur Hayati,7 months ago,The smell is delicious and very nice.,the smell is delicious and very nice
Adilaksmana Eventindonesia,7 months ago,Best perfume advisor! Satisfied with the service and explanationðŸ‘ðŸ» â€¦,best perfume advisor satisfied with the service and explanationðÿ ðÿ â
Ferdy Ferdy,7 months ago,"nice store, perfect scents",nice store perfect scents
Nick Zakir,7 months ago,Mr Syarif and Ms Dewi are so helpful in deciding the perfume â¤ï¸,mr syarif and ms dewi are so helpful in deciding the perfume â ï
Muhammad Tarmizi,7 months ago,The staff are professionals and they know what to recommend. Kudos to Hafis and Agry!,the staff are professionals and they know what to recommend kudos to hafis and agry
Suzami Junaidah,7 months ago,The best perfume ever..i will purchased this perfume again.,the best perfume ever i will purchased this perfume again
Risa Damayanti Tarihoran,7 months ago,"The perfume is really good, the scent is unique, and the service is friendly and excellent. It's the best shopping here.",the perfume is really good the scent is unique and the service is friendly and excellent it s the best shopping here
MUHAMMAD NAZREEN SHAH BIN HABEEB RAHMAN,7 months ago,Wonderful shopping experience here. Definitely will come for more here,wonderful shopping experience here definitely will come for more here
Alif Azrin,7 months ago,Staff name SYARIF MANTAPPPP,staff name syarif mantapp
Anas Firdaus,7 months ago,"The staff, Dewi and Syarif, are friendly. They are very helpful and informative. The products are excellent, international-level.",the staff dewi and syarif are friendly they are very helpful and informative the products are excellent international level
ashraf fardzli,7 months ago,Amazing selection!!,amazing selection
Louiciana Pattiwael,7 months ago,A satisfying shopping experience at HMNS Grand IndoðŸ¥° â€¦,a satisfying shopping experience at hmns grand indoðÿ â
Ravena Viyanka,7 months ago,the staff are v nice & helpful <3,the staff are v nice helpful
Iqbal Ghiffari,7 months ago,The smell is so delicious,the smell is so delicious
Meidy Chandra Asmadita,7 months ago,The staff is friendly and very helpful. The stock is complete and the store is strategically located.,the staff is friendly and very helpful the stock is complete and the store is strategically located
ibung tanjung,7 months ago,"It's fun, the older brother is friendly and funny",it s fun the older brother is friendly and funny
Lidan Isbar,7 months ago,really top,really top
amalia fakhrunnisa,7 months ago,Good quality good service,good quality good service
hrryshfzie,7 months ago,good! the price is reasonable. service 100/1,good the price is reasonable service
hamiza ramli,7 months ago,Fragrant perfume.. suitable for men and women. Besttttt best SA,fragrant perfume suitable for men and women bestt best sa
Noor Hafiza Ramli,7 months ago,Best selection of trendy scent,best selection of trendy scent
febby ananda,7 months ago,"its cool servise, thx u for mas nichol!",its cool servise thx u for mas nichol
kusnul khotimah,7 months ago,"The service is very good, I enjoy shopping at HMNS,",the service is very good i enjoy shopping at hmns
NUR FARAH NABILA KHAIRUN NASRI,7 months ago,Excellent services and very friendly,excellent services and very friendly
Wardina Khairun,7 months ago,"Friendly, and helpful staff. Great perfume choices, Overall great service ! 10/10",friendly and helpful staff great perfume choices overall great service
Mastura H.,7 months ago,I had my first experience trying a local brand. Hafis is very helpful and friendly. We bought 2  of 100 ml parfums in total.,i had my first experience trying a local brand hafis is very helpful and friendly we bought of ml parfums in total
Amira Saidin,7 months ago,Smells like expensive perfume. Staff service is very good.,smells like expensive perfume staff service is very good
Nur Amnani Rosman,7 months ago,HMNS the best smell and the best perfume,hmns the best smell and the best perfume
Kay Deen,7 months ago,Nice people. Awesome service. Keep up the good work folks.,nice people awesome service keep up the good work folks
No Phenk,7 months ago,"I've bought perfume/eau de toilette here twice, the product is good, the bottle quality is good, and the service is also good.",i ve bought perfume eau de toilette here twice the product is good the bottle quality is good and the service is also good
nur ayla nathalia muhammad hilmi,7 months ago,amazing smell ðŸ©·ðŸ©· â€¦,amazing smell ðÿ ðÿ â
Kana Art,7 months ago,Again and again we bring guests and shop here,again and again we bring guests and shop here
Norazleen Che Noh,7 months ago,"Very good service,luv it so much",very good service luv it so much
Firda Septiani Nauli,7 months ago,Really like one of my favorite local brands,really like one of my favorite local brands
ketika pagi,7 months ago,Hmns perfect store,hmns perfect store
aes aes,7 months ago,Awesome... the brothers are friendly,awesome the brothers are friendly
Ginanjar Erwin,7 months ago,"Good, friendly and honest service",good friendly and honest service
Hazim Zuraimi,7 months ago,Good Perfume Stop CentreðŸ¥¶,good perfume stop centreðÿ
Ahmad Daniell Noor Azmi,7 months ago,Staff is so helpful. Affordable perfume with various choices of scent. Go find Agry and Hafiz ASAP!!,staff is so helpful affordable perfume with various choices of scent go find agry and hafiz asap
nabiella azmi,7 months ago,Great service. Agry is good.,great service agry is good
Cindy Clarestan,7 months ago,"Local perfume that makes you wonder at the smell, just passing by GI for fun but so I automatically bought 2 because it really smells luxurious",local perfume that makes you wonder at the smell just passing by gi for fun but so i automatically bought because it really smells luxurious
Ummai Zainal,7 months ago,Great experience! We even got freebies!,great experience we even got freebies
Ummi Zainal,7 months ago,Very good service and helpful in getting the best perfumes!,very good service and helpful in getting the best perfumes
YASMIN FIKRIYAH,7 months ago,Love the perfumes and the staff were very friendly and helpful,love the perfumes and the staff were very friendly and helpful
ahmad zahir,7 months ago,Great fragrance and helpful staff to make purchase for suitable perfume,great fragrance and helpful staff to make purchase for suitable perfume
MF. Dewantara Almismary,7 months ago,"Very fast service, staff explained things well and were very friendly. Best perfume",very fast service staff explained things well and were very friendly best perfume
Jazzy,7 months ago,"I really like it when the staff at GI are very friendly, Mr. Nichol, thank you for your helpðŸ©·ðŸ©· â€¦",i really like it when the staff at gi are very friendly mr nichol thank you for your helpðÿ ðÿ â
Amelda Evans,7 months ago,Best local parfume from indonesia,best local parfume from indonesia
Siti Aminah Hay,7 months ago,Bought 3 eau de parfum here. Love the smell and reasonable price,bought eau de parfum here love the smell and reasonable price
Shila Adinda Putri,7 months ago,"Enjoy shopping here, the staff are friendly and polite.",enjoy shopping here the staff are friendly and polite
siti aishah mohamed yusop,7 months ago,Friendly staff..and the perfume smells really good,friendly staff and the perfume smells really good
raihan afrinaa,7 months ago,Perfume smells really nice and long lasting. Staff also friendly and helpful when recommending the scent.,perfume smells really nice and long lasting staff also friendly and helpful when recommending the scent
Siti Fatima Mohamed Yusop,7 months ago,Everything smells good and is reasonably priced.,everything smells good and is reasonably priced
Lutfia Safitri,7 months ago,the location is easy to find ðŸ¥° â€¦,the location is easy to find ðÿ â
Zam Zam,7 months ago,Excellent perfume,excellent perfume
Christy Suherman,7 months ago,Best service!! â¤ï¸,best service â ï
alhafis gaunna,7 months ago,Subscription perfume,subscription perfume
Zur Ain Binti Hanafi,7 months ago,Nice service. Very good quality perfume,nice service very good quality perfume
Jay Boncit,7 months ago,Good service and friendly,good service and friendly
Diyana Shah,7 months ago,The smell is so nice.,the smell is so nice
Zulaikha Ariffin,7 months ago,Good service from the staff! Nice smell of perfumes :),good service from the staff nice smell of perfumes
Carl Ludwi,7 months ago,Local best!,local best
Gaga Gaga,7 months ago,"Thank you, sis Nicole.",thank you sis nicole
Shofi Sheva,7 months ago,"The perfume and air freshener smell really nice, the service is friendly and they really know their products... The best in short... I bought this at GI.... thank you",the perfume and air freshener smell really nice the service is friendly and they really know their products the best in short i bought this at gi thank you
Louis Dio,7 months ago,Good and Fast Service,good and fast service
Rani Dwi Silvia,7 months ago,Great service! Lots of great promotions!,great service lots of great promotions
Nandita Kayla,7 months ago,The smell is very fragrant and the staff is friendly.,the smell is very fragrant and the staff is friendly
heci moci,7 months ago,"The staff is friendly, really helpful in choosing a good perfume, love it",the staff is friendly really helpful in choosing a good perfume love it
Sharifah Sheikh Walid,7 months ago,Sales representative (Hafis) was a great promoter and very helpful!  (GI branch) 16/08/2025,sales representative hafis was a great promoter and very helpful gi branch
Ardent Religian,7 months ago,love the fragrance!,love the fragrance
Wazien Ikhwan,8 months ago,Good service. Fast and straightforward.,good service fast and straightforward
Rena Amelia,8 months ago,SatisfyingðŸ˜ â€¦,satisfyingðÿ â
Bayu Prasetyo Anwar,8 months ago,"Wow, HMNS is really cool, the best local perfume so far.",wow hmns is really cool the best local perfume so far
Naim Z,8 months ago,Buyers from Malaysia. Awesome,buyers from malaysia awesome
Amirah Syafiqah,8 months ago,great service!!! love Agry ðŸ¥° â€¦,great service love agry ðÿ â
ery,8 months ago,"The best employees, the perfume is delicious. Let's buy Malaysians",the best employees the perfume is delicious let s buy malaysians
Maghrib Razak,8 months ago,"Best place, Malaysians must come looking for perfume. Perfect price and smells great. Lots of free gifts âœ¨âœ¨",best place malaysians must come looking for perfume perfect price and smells great lots of free gifts âœ âœ
Vinny Kartika,8 months ago,"The staff is very cherrfully, very friendly. Lovee staff hmns GIâ¤ï¸â¤ï¸â¤ï¸ðŸ«°ðŸ»ðŸ«°ðŸ»ðŸ«°ðŸ»ðŸ«°ðŸ»ðŸ«°ðŸ»ðŸ«°ðŸ»ðŸ«°ðŸ»the fragrance is really nice city series, recommended by sis dewiðŸ¥°ðŸ¥° â€¦",the staff is very cherrfully very friendly lovee staff hmns giâ ï â ï â ï ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ the fragrance is really nice city series recommended by sis dewiðÿ ðÿ â
Melinda,8 months ago,Having a great experience here with Hafis. Heâ€™s very helpful and knowledgeable about the product. Ended buying 1 juta here.,having a great experience here with hafis heâ s very helpful and knowledgeable about the product ended buying juta here
Shaharani Trimaulina,8 months ago,Perfume recommendationðŸ‘ðŸ»ðŸ«¶ðŸ» â€¦,perfume recommendationðÿ ðÿ ðÿ ðÿ â
Dina Arianti,8 months ago,"Very friendly service, bestðŸ¥°ðŸ’—ðŸ™Œ â€¦",very friendly service bestðÿ ðÿ ðÿ œ â
Qaiser Faris,8 months ago,Unique scents and value for money,unique scents and value for money
Daniel Azim,8 months ago,"Had a superb experience at the offline store. Hafis is friendly, helpful and assisted with our purchased really well.",had a superb experience at the offline store hafis is friendly helpful and assisted with our purchased really well
Sharifah Hass,8 months ago,"The scents here are very similar to some higher end perfumes. My favourite was Alpha (for males) and Darker Shade of Orgasm. The shop is easy to find, and the two ladies serving me were very helpful, warm and cheerful! Thank you.",the scents here are very similar to some higher end perfumes my favourite was alpha for males and darker shade of orgasm the shop is easy to find and the two ladies serving me were very helpful warm and cheerful thank you
Mullah zebra,8 months ago,Best and friendly service thank youhhhhh,best and friendly service thank youhh
Annatasha Mohamad Fathie,8 months ago,The employees are friendly and helpful. Hopefully they open a branch in Malaysia.,the employees are friendly and helpful hopefully they open a branch in malaysia
Aziem Mohamad,8 months ago,All Sales person friendly and helpful â¤ï¸,all sales person friendly and helpful â ï
Emma,8 months ago,All the staff are friendly and helpful!! Lovee,all the staff are friendly and helpful lovee
Man Man,8 months ago,"Amazing selection of perfumes, from classics to rare finds. Staff are friendly, knowledgeable, and genuinely helpful. Walked out with a scent I love and so many compliments since!",amazing selection of perfumes from classics to rare finds staff are friendly knowledgeable and genuinely helpful walked out with a scent i love and so many compliments since
Derich Aunawi,8 months ago,"Bought 3 diffusers, all of them are delicious + all the staff are professionalâœ‹ðŸ» highly recommended to try! â€¦",bought diffusers all of them are delicious all the staff are professionalâœ ðÿ highly recommended to try â
dewankesenian sabang,8 months ago,The smell is luxurious and the service is extraordinary... her smile makes us want to buy another perfume... one test is not enough,the smell is luxurious and the service is extraordinary her smile makes us want to buy another perfume one test is not enough
Ramadhany Anastasya,8 months ago,"Wow, thank you darling for giving a good explanation.. and the scent can really be compared to other products.. my intention was just to accompany you shopping, but I also bought the best one hahaha",wow thank you darling for giving a good explanation and the scent can really be compared to other products my intention was just to accompany you shopping but i also bought the best one hahaha
Aiman Hiu,8 months ago,Perfume smells amazing for the price. Definitely worth the buy!,perfume smells amazing for the price definitely worth the buy
Melissa Nabila Rosmin,8 months ago,"came all the way from malaysia to jakarta just for HMNS, and it was totally worth it! the store smells amazing, staffs were very friendly, helped me find the perfect scent! love the sleek packaging too! cant wait to come back",came all the way from malaysia to jakarta just for hmns and it was totally worth it the store smells amazing staffs were very friendly helped me find the perfect scent love the sleek packaging too cant wait to come back
Hafizah Jin,8 months ago,Really like the smell of Orgsm & untitle human 02,really like the smell of orgsm untitle human
Sadik Said,8 months ago,Good customer service. Nice perfumes. Definitely coming back,good customer service nice perfumes definitely coming back
Rezal Rumit,8 months ago,"Good product, unique fragrance, always popular",good product unique fragrance always popular
Susan Kenedy,8 months ago,Very friendly staff â¤ï¸â¤ï¸,very friendly staff â ï â ï
lingling is,8 months ago,"Nice perfume,nice service by Mr nichol and ms Devi.",nice perfume nice service by mr nichol and ms devi
Qayyum Zainal,8 months ago,Mbak dewi and mas nichol was really helpful and thoughtful.,mbak dewi and mas nichol was really helpful and thoughtful
Faezul,8 months ago,Friendly staff,friendly staff
kevin surya,8 months ago,"Very friendly service, no need to ask about quality ðŸ«°ðŸ«¶ðŸ«¶ â€¦",very friendly service no need to ask about quality ðÿ ðÿ ðÿ â
Mich N,8 months ago,Rike was patient and efficient in her service. Counter is also very conveniently located in Grand Indo.,rike was patient and efficient in her service counter is also very conveniently located in grand indo
Putri Tia Anggraini,8 months ago,"Very nice, friendly, helped by Mr. Nichol, very cool",very nice friendly helped by mr nichol very cool
Sirhan Escobar,8 months ago,"The scent philosopher was very helpful, really gave a good insight on the perfumes sold",the scent philosopher was very helpful really gave a good insight on the perfumes sold
Devi Erma,8 months ago,"Shopping at hmns GI is really enjoyable because the service is excellent, the staff are very friendly and patient in explaining the advantages of each product they sell, and the fragrance is also nice. I really enjoy shopping here and will come back again.",shopping at hmns gi is really enjoyable because the service is excellent the staff are very friendly and patient in explaining the advantages of each product they sell and the fragrance is also nice i really enjoy shopping here and will come back again
Emma Larasati,8 months ago,The service is very good. Very helpful.,the service is very good very helpful
desi dienih,8 months ago,The staff is very helpful and friendly,the staff is very helpful and friendly
Danish Asyraf,8 months ago,Fav smell farhampton and orgsm. Thank u hafis for your kind assistance,fav smell farhampton and orgsm thank u hafis for your kind assistance
Zakaria Patrum,8 months ago,A lot of choice for broad range of perfume for male and female affordable price with decent size. Recommend for you to try sniff them because the friendly will assist and serve you.,a lot of choice for broad range of perfume for male and female affordable price with decent size recommend for you to try sniff them because the friendly will assist and serve you
P,8 months ago,Very good and sincere service from the staffs at the Grand Indonesia mall. Genuinely enjoyed testing out the fragrances! Highly recommended ðŸ˜¬âœ¨ â€¦,very good and sincere service from the staffs at the grand indonesia mall genuinely enjoyed testing out the fragrances highly recommended ðÿ âœ â
fiqi zaidi,8 months ago,Best perfume already bought 5 perfumes from them !,best perfume already bought perfumes from them
Bunga Rsl,8 months ago,"HMNS is the absolute best! The scent is luxurious, the prices are affordable, the staff at GI are friendly, and the service is truly excellent ðŸ¥° â€¦",hmns is the absolute best the scent is luxurious the prices are affordable the staff at gi are friendly and the service is truly excellent ðÿ â
Olivia Rivi,8 months ago,"good service, and very friendly!!!ðŸ«¶ðŸ» â€¦",good service and very friendly ðÿ ðÿ â
Intan Nur Shahira,8 months ago,"Very good perfume shop, good customer service, friendly staff. Got free gifts as well. 10/10",very good perfume shop good customer service friendly staff got free gifts as well
Mrah Davin,8 months ago,the fragrance is really long lasting and really nice,the fragrance is really long lasting and really nice
Nur Amanina,8 months ago,very good experience and affordable perfumes ever! the bestt ðŸ¥°ðŸ¥°ðŸ¥° â€¦,very good experience and affordable perfumes ever the bestt ðÿ ðÿ ðÿ â
sab,8 months ago,"friendly staff, nice perfume.",friendly staff nice perfume
Egar Gusti,8 months ago,The staff is friendly and very cheerful. Enjoy shopping at hmns GI.,the staff is friendly and very cheerful enjoy shopping at hmns gi
Ike Rahmawati,8 months ago,"Hmm, my favorite is lemon pie.",hmm my favorite is lemon pie
Zhafran ?_?,8 months ago,Very good and nice,very good and nice
Youlandita Kaka,8 months ago,Mr. Nichol Store GI is very friendly. I was given a free perfume box and its contents. And they were very helpful in choosing perfume according to my taste.,mr nichol store gi is very friendly i was given a free perfume box and its contents and they were very helpful in choosing perfume according to my taste
Abinidental Grandwisata,8 months ago,The smell is delicious.,the smell is delicious
hilman afiq,8 months ago,Nichol and dewi rendered great assistance and provided good recommendations. Appreciate the service!,nichol and dewi rendered great assistance and provided good recommendations appreciate the service
TMDanis Chennel Annisa,8 months ago,The perfume is long-lasting and very fresh,the perfume is long lasting and very fresh
